District,Unemployment Rate (%),Population Density (people/km²),Number of Police Stations,Education Index,Poverty Rate (%),"Crime Rate (per 1,000 people)"
Malappuram,10.71,1161.72,35,0.905,20.4,44.87
Thiruvananthapuram,11.52,1458.72,43,0.942,18.2,42.96
Ernakulam,10.13,1092.19,51,0.947,11.06,16.62
Kottayam,9.33,894.45,33,0.948,12.76,27.54
Thiruvananthapuram,13.95,1447.0,45,0.933,19.35,49.48
Thiruvananthapuram,12.19,1538.42,43,0.933,17.29,42.88
Kasaragod,13.65,713.18,29,0.904,20.56,56.42
Thiruvananthapuram,11.85,1566.29,43,0.92,16.64,41.17
Kozhikode,9.59,1337.49,42,0.95,11.69,24.74
Palakkad,9.87,652.33,32,0.911,14.07,29.1
Kozhikode,9.54,1229.2,40,0.935,11.48,27.16
Kannur,8.64,1041.57,38,0.976,7.92,14.14
Pathanamthitta,9.48,371.65,27,0.974,8.43,20.14
Kannur,8.99,1176.76,38,0.953,10.29,24.78
Kottayam,8.6,823.02,33,0.968,10.56,22.12
Kozhikode,8.63,1247.36,40,0.94,13.99,26.1
Malappuram,11.08,1234.92,36,0.931,18.19,42.68
Wayanad,11.69,485.79,26,0.875,18.79,44.59
Palakkad,11.6,703.17,36,0.9,15.84,36.69
Idukki,8.82,156.08,20,0.922,6.03,17.69
Wayanad,10.05,297.27,26,0.893,18.06,38.24
Palakkad,10.87,625.62,35,0.923,15.06,30.8
Thrissur,9.11,959.68,41,0.932,14.12,25.62
Thrissur,9.67,934.68,40,0.943,13.09,27.09
Thiruvananthapuram,12.68,1500.81,46,0.93,18.56,44.15
Kannur,9.06,1172.61,34,0.95,10.15,25.62
Palakkad,11.27,614.76,35,0.935,14.62,33.98
Idukki,6.35,287.23,19,0.905,6.01,11.18
Palakkad,11.7,680.45,35,0.919,16.4,36.62
Pathanamthitta,6.87,403.22,28,0.973,9.52,12.56
Wayanad,12.1,427.09,27,0.88,16.98,43.91
Pathanamthitta,7.75,395.47,30,0.97,8.03,13.19
Idukki,7.54,179.4,23,0.935,7.97,17.22
Palakkad,12.01,690.28,36,0.908,16.95,40.79
Ernakulam,10.17,1020.69,52,0.97,10.11,17.13
